▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3100
- Network:       http://192.168.56.1:3100
- Environments: .env

✓ Starting...
✓ Ready in 7.3s
○ Compiling /dashboard/marketplace/create ...
 GET /dashboard/marketplace/create 200 in 12.0s (compile: 10.7s, proxy.ts: 693ms, render: 572ms)
 GET /dashboard/marketplace/create 200 in 231ms (compile: 6ms, proxy.ts: 10ms, render: 215ms)
 GET /api/auth/session 200 in 3.2s (compile: 3.1s, proxy.ts: 11ms, render: 55ms)
 GET / 200 in 2.5s (compile: 2.2s, proxy.ts: 20ms, render: 358ms)
 GET /api/auth/session 200 in 256ms (compile: 197ms, proxy.ts: 15ms, render: 43ms)
 GET /api/custom-dashboard/resolve?hostname=localhost 200 in 933ms (compile: 858ms, proxy.ts: 20ms, render: 55ms)
 GET /api/stats 500 in 3.3s (compile: 1965ms, proxy.ts: 16ms, render: 1278ms)
 GET /api/posts 500 in 3.3s (compile: 1209ms, proxy.ts: 13ms, render: 2.1s)
 GET /api/stats 500 in 497ms (compile: 15ms, proxy.ts: 15ms, render: 467ms)
 GET /api/posts 500 in 39ms (compile: 8ms, proxy.ts: 13ms, render: 17ms)
 GET /api/stats 500 in 728ms (compile: 6ms, proxy.ts: 19ms, render: 703ms)
 GET /api/posts 500 in 94ms (compile: 63ms, proxy.ts: 13ms, render: 19ms)
 GET /api/stats 500 in 382ms (compile: 6ms, proxy.ts: 9ms, render: 367ms)
 GET /api/posts 500 in 122ms (compile: 60ms, proxy.ts: 38ms, render: 24ms)
 GET /api/stats 500 in 207ms (compile: 7ms, proxy.ts: 7ms, render: 193ms)
 GET /api/posts 500 in 24ms (compile: 6ms, proxy.ts: 8ms, render: 11ms)
 GET /api/stats 500 in 192ms (compile: 7ms, proxy.ts: 7ms, render: 178ms)
 GET /api/posts 500 in 26ms (compile: 5ms, proxy.ts: 8ms, render: 13ms)
 GET /api/stats 500 in 246ms (compile: 5ms, proxy.ts: 9ms, render: 232ms)
 GET /api/posts 500 in 26ms (compile: 5ms, proxy.ts: 10ms, render: 11ms)
 GET /api/stats 500 in 680ms (compile: 9ms, proxy.ts: 10ms, render: 660ms)
 GET /api/posts 500 in 34ms (compile: 11ms, proxy.ts: 9ms, render: 14ms)
 GET /api/stats 500 in 765ms (compile: 8ms, proxy.ts: 9ms, render: 747ms)
 GET /api/posts 500 in 37ms (compile: 15ms, proxy.ts: 10ms, render: 12ms)
 GET /api/stats 500 in 360ms (compile: 6ms, proxy.ts: 8ms, render: 346ms)
 GET /api/posts 500 in 46ms (compile: 25ms, proxy.ts: 10ms, render: 10ms)
 GET /api/stats 500 in 2.1s (compile: 28ms, proxy.ts: 28ms, render: 2.1s)
 GET /api/posts 500 in 64ms (compile: 21ms, proxy.ts: 21ms, render: 22ms)
 GET /api/stats 500 in 507ms (compile: 69ms, proxy.ts: 10ms, render: 428ms)
 GET /api/posts 500 in 114ms (compile: 72ms, proxy.ts: 30ms, render: 12ms)
 GET /api/stats 500 in 368ms (compile: 7ms, proxy.ts: 12ms, render: 349ms)
 GET /api/posts 500 in 29ms (compile: 6ms, proxy.ts: 11ms, render: 12ms)
 GET /api/stats 500 in 293ms (compile: 5ms, proxy.ts: 13ms, render: 276ms)
 GET /api/posts 500 in 27ms (compile: 4ms, proxy.ts: 10ms, render: 13ms)
 GET /api/stats 500 in 11.2s (compile: 9ms, proxy.ts: 10ms, render: 11.2s)
 GET /api/posts 500 in 798ms (compile: 7ms, proxy.ts: 12ms, render: 778ms)
 GET /api/stats 500 in 11.0s (compile: 6ms, proxy.ts: 14ms, render: 11.0s)
 GET /api/posts 500 in 1064ms (compile: 6ms, proxy.ts: 12ms, render: 1045ms)
